STATE,RANGE,POP
Pennsylvania,20-29,1715503
Pennsylvania,30-39,1514496
Pennsylvania,40-49,1641102
Pennsylvania,50-59,1896991
Pennsylvania,60-69,1483475
Pennsylvania,70-80+,852214
Rhode Island,0-10,112698
Rhode Island,19-Oct,135703
Rhode Island,20-29,152882
Rhode Island,30-39,124557
Rhode Island,40-49,137343
Rhode Island,50-59,156855
Rhode Island,60-69,117581
Rhode Island,70-80+,63621
South Carolina,0-10,598730
South Carolina,19-Oct,610535
South Carolina,20-29,650805
South Carolina,30-39,585132
South Carolina,40-49,614699
South Carolina,50-59,664904
South Carolina,60-69,574320
South Carolina,70-80+,325108
South Dakota,0-10,120758
South Dakota,19-Oct,113499
South Dakota,20-29,115615
South Dakota,30-39,104037
South Dakota,40-49,94765
South Dakota,50-59,117687
South Dakota,60-69,93500
South Dakota,70-80+,51084
Tennessee,0-10,818117
Tennessee,19-Oct,841063
Tennessee,20-29,887337
Tennessee,30-39,825728
Tennessee,40-49,863061
Tennessee,50-59,911383
Tennessee,60-69,735577
Tennessee,70-80+,417259
Texas,0-10,3967059
Texas,19-Oct,3886800
Texas,20-29,3904339
Texas,30-39,3733270
Texas,40-49,3516612
Texas,50-59,3382155
Texas,60-69,2418793
Texas,70-80+,1287826
Utah,0-10,514327
Utah,19-Oct,475491
Utah,20-29,459229
Utah,30-39,435174
Utah,40-49,326053
Utah,50-59,304708
Utah,60-69,227061
Utah,70-80+,124151
Vermont,0-10,63299
Vermont,19-Oct,79458
Vermont,20-29,81899
Vermont,30-39,70131
Vermont,40-49,79210
Vermont,50-59,100332
Vermont,60-69,82300
Vermont,70-80+,42537
Virginia,0-10,1034653
Virginia,19-Oct,1054911
Virginia,20-29,1144623
Virginia,30-39,1080456
Virginia,40-49,1103646
Virginia,50-59,1170352
Virginia,60-69,872955
Virginia,70-80+,475867
Washington,0-10,896230
Washington,19-Oct,876755
Washington,20-29,981198
Washington,30-39,950786
Washington,40-49,907344
Washington,50-59,973998
Washington,60-69,779324
Washington,70-80+,400773
West Virginia,0-10,207356
West Virginia,19-Oct,218512
West Virginia,20-29,232261
West Virginia,30-39,221922
West Virginia,40-49,237875
West Virginia,50-59,271133
West Virginia,60-69,242721
West Virginia,70-80+,138332
Wisconsin,0-10,704171
Wisconsin,19-Oct,753686
Wisconsin,20-29,761702
Wisconsin,30-39,713576
Wisconsin,40-49,729712
Wisconsin,50-59,854536
Wisconsin,60-69,642887
Wisconsin,70-80+,352396
Wyoming,0-10,78417
Wyoming,19-Oct,74628
Wyoming,20-29,82271
Wyoming,30-39,76447
Wyoming,40-49,66326
Wyoming,50-59,83489
Wyoming,60-69,66530
Wyoming,70-80+,33168
